track_name,artist,genre,track_uri,track_link,track_preview,album
In The Air Tonight - 2015 Remastered,Phil Collins,Rock,spotify:track:18AXbzPzBS8Y3AkgSxzJPb,https://open.spotify.com/track/18AXbzPzBS8Y3AkgSxzJPb,https://p.scdn.co/mp3-preview/31c39a7bd82cc18f28c48ead9b95a0fa03147c3e?cid=334acd00a2d445cb9077c0c4cf57f5a9,Face Value (Deluxe Editon)
Come Together - Remastered 2009,The Beatles,Rock,spotify:track:2EqlS6tkEnglzr7tkKAAYD,https://open.spotify.com/track/2EqlS6tkEnglzr7tkKAAYD,,Abbey Road (Remastered)
Rock You Like a Hurricane - 2015 - Remaster,Scorpions,Rock,spotify:track:2fICdpdRotwfmGYzvs8Ngf,https://open.spotify.com/track/2fICdpdRotwfmGYzvs8Ngf,,Love At First Sting (Deluxe Edition)
Bitter Sweet Symphony - Remastered 2016,The Verve,Rock,spotify:track:57iDDD9N9tTWe75x6qhStw,https://open.spotify.com/track/57iDDD9N9tTWe75x6qhStw,,Urban Hymns (Remastered 2016)
For What It's Worth,Buffalo Springfield,Rock,spotify:track:1qRA5BS78u3gME0loMl9AA,https://open.spotify.com/track/1qRA5BS78u3gME0loMl9AA,https://p.scdn.co/mp3-preview/53ab746c37c717c20f793598064b7f720877b646?cid=334acd00a2d445cb9077c0c4cf57f5a9,Buffalo Springfield
Riders on the Storm,The Doors,Rock,spotify:track:14XWXWv5FoCbFzLksawpEe,https://open.spotify.com/track/14XWXWv5FoCbFzLksawpEe,https://p.scdn.co/mp3-preview/0d7d4d35554f6097fce04d464f7aacd7c6f59727?cid=334acd00a2d445cb9077c0c4cf57f5a9,L.A. Woman
"American Woman - 7"" Single Version",The Guess Who,Rock,spotify:track:0emHuukZSuaOzOlsAWHj2W,https://open.spotify.com/track/0emHuukZSuaOzOlsAWHj2W,https://p.scdn.co/mp3-preview/83105a8b13fe4110a50a534790ca409e0cbc6ce8?cid=334acd00a2d445cb9077c0c4cf57f5a9,American Woman (Expanded Edition)
Mr. Blue Sky,Electric Light Orchestra,Rock,spotify:track:2RlgNHKcydI9sayD2Df2xp,https://open.spotify.com/track/2RlgNHKcydI9sayD2Df2xp,https://p.scdn.co/mp3-preview/2c3de8db9c9e07197796cafd81adc9eae8b3a25a?cid=334acd00a2d445cb9077c0c4cf57f5a9,Out of the Blue
Where Is My Mind? - 2007 Remaster,Pixies,Rock,spotify:track:7wCmS9TTVUcIhRalDYFgPy,https://open.spotify.com/track/7wCmS9TTVUcIhRalDYFgPy,https://p.scdn.co/mp3-preview/03da0b85c9fa2fb5e621e97d4fb145a17aaf7ef1?cid=334acd00a2d445cb9077c0c4cf57f5a9,Surfer Rosa (2007 Remaster)
One Way Or Another - Remastered 2001,Blondie,Rock,spotify:track:5Th6EdNVhxp0TPX41ZLZk6,https://open.spotify.com/track/5Th6EdNVhxp0TPX41ZLZk6,,One Way Or Another
All Right Now,Free,Rock,spotify:track:7IhkWF9zpiYKlU7CxHxYT9,https://open.spotify.com/track/7IhkWF9zpiYKlU7CxHxYT9,,Fire And Water (Deluxe Edition)
Black Hole Sun,Soundgarden,Rock,spotify:track:2EoOZnxNgtmZaD8uUmz2nD,https://open.spotify.com/track/2EoOZnxNgtmZaD8uUmz2nD,,Superunknown (Deluxe Edition)
White Wedding - Pt. 1,Billy Idol,Rock,spotify:track:1gzIbdFnGJ226LTl0Cn2SX,https://open.spotify.com/track/1gzIbdFnGJ226LTl0Cn2SX,,Billy Idol
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,Rock,spotify:track:3gdewACMIVMEWVbyb8O9sY,https://open.spotify.com/track/3gdewACMIVMEWVbyb8O9sY,,Honky Chateau
Black Dog - Remaster,Led Zeppelin,Rock,spotify:track:3qT4bUD1MaWpGrTwcvguhb,https://open.spotify.com/track/3qT4bUD1MaWpGrTwcvguhb,https://p.scdn.co/mp3-preview/78dd352fdbe8d2a867b72c5a71ac44ef6a462ab4?cid=334acd00a2d445cb9077c0c4cf57f5a9,Led Zeppelin IV (Deluxe Edition)
Gimme Shelter,The Rolling Stones,Rock,spotify:track:1dv3ePjze9tPq2pk8eWJdR,https://open.spotify.com/track/1dv3ePjze9tPq2pk8eWJdR,,Let It Bleed
Won't Get Fooled Again - Original Album Version,The Who,Rock,spotify:track:7iLGljK0LNpGamQQEOuCRC,https://open.spotify.com/track/7iLGljK0LNpGamQQEOuCRC,,Who's Next (Deluxe Edition)
